":id",":version",":created_at",":updated_at","crash_date","crash_time","borough","zip_code","latitude","longitude","location","on_street_name","off_street_name","cross_street_name","number_of_persons_injured","number_of_persons_killed","number_of_pedestrians_injured","number_of_pedestrians_killed","number_of_cyclist_injured","number_of_cyclist_killed","number_of_motorist_injured","number_of_motorist_killed","contributing_factor_vehicle_1","contributing_factor_vehicle_2","contributing_factor_vehicle_3","contributing_factor_vehicle_4","contributing_factor_vehicle_5","collision_id","vehicle_type_code1","vehicle_type_code2","vehicle_type_code_3","vehicle_type_code_4","vehicle_type_code_5"
"row-6e73_bghu~ikbx","rv-8s7w~di5u.m9dr","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:00",,,"40.8178200","-73.9152760","( 4 0 . 8 1 7 8 2 ,   - 7 3 . 9 1 5 2 7 6 )","3 AVENUE                        ","EAST 152 STREET",,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4406899","Sedan",,,,
"row-4ia6~hyve~fjiv","rv-qucr-6cp7_7sfr","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:00","BROOKLYN","11203","40.6423840","-73.9253900","( 4 0 . 6 4 2 3 8 4 ,   - 7 3 . 9 2 5 3 9 )","AVENUE D                        ","KINGS HIGHWAY",,"1","0","0","0","0","0","1","0","Turning Improperly","Unspecified",,,,"4406931","Sedan","Sedan",,,
"row-eam8.a6z8_cjpu","rv-vgz7~u4du~bsmj","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:04","BROOKLYN","11236","40.6538960","-73.9014200","( 4 0 . 6 5 3 8 9 6 ,   - 7 3 . 9 0 1 4 2 )",,,"10502     AVENUE D                      ","0","0","0","0","0","0","0","0","Turning Improperly","Unspecified",,,,"4407404","Station Wagon/Sport Utility Vehicle","Sedan",,,
"row-xc2t~46jy-ras9","rv-txuq-9mzv.pbx3","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:15","BROOKLYN","11231","40.6837200","-74.0033400","( 4 0 . 6 8 3 7 2 ,   - 7 4 . 0 0 3 3 4 )","COLUMBIA STREET                 ","PRESIDENT STREET",,"1","0","0","0","0","0","1","0","Reaction to Uninvolved Vehicle","Unspecified",,,,"4407666","Sedan","Pick-up Truck",,,
"row-fkyr-p7yc.73p8","rv-yiuv~jje3_gscq","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:20","BRONX","10459","40.8231770","-73.8899600","( 4 0 . 8 2 3 1 7 7 ,   - 7 3 . 8 8 9 9 6 )",,,"979       ALDUS STREET                  ","0","0","0","0","0","0","0","0","Unspecified",,,,,"4407108","Sedan","Box Truck",,,
"row-bfjt-wz4p_73pk","rv-v2bg-5wyy.88uy","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:21","BRONX","10461","40.8453800","-73.8409000","( 4 0 . 8 4 5 3 8 ,   - 7 3 . 8 4 0 9 )",,,"1500      WATERS PLACE                  ","0","0","0","0","0","0","0","0","Unspecified",,,,,"4406904","Ambulance",,,,
"row-86vq~2s2p_rcxt","rv-sd29.kik3_8dbe","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:30","BROOKLYN","11223","40.6021200","-73.9695800","( 4 0 . 6 0 2 1 2 ,   - 7 3 . 9 6 9 5 8 )","AVENUE S                        ","EAST 3 STREET",,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4407098","Pick-up Truck",,,,
"row-hxzm-52qc-a85i","rv-dxhm_z5en_zjaj","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:30","MANHATTAN","10019","40.7668880","-73.9833150","( 4 0 . 7 6 6 8 8 8 ,   - 7 3 . 9 8 3 3 1 5 )",,,"300       WEST 57 STREET                ","0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4407031","Station Wagon/Sport Utility Vehicle","Sedan",,,
"row-e9ct~uyhg_mgi9","rv-dw8e~2xp5-wvzq","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:30","QUEENS","11360",,,,"26TH AVENUE                     ","CORPORAL KENNEDY STREET",,"0","0","0","0","0","0","0","0","Passing Too Closely","Unspecified",,,,"4406951","Station Wagon/Sport Utility Vehicle",,,,
"row-tgzx_zwxm~zavq","rv-eytx-g9iv_92f2","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:30",,,"40.7056700","-73.9214200","( 4 0 . 7 0 5 6 7 ,   - 7 3 . 9 2 1 4 2 )","WYCKOFF AVENUE                  ",,,"0","0","0","0","0","0","0","0","Turning Improperly","Unspecified",,,,"4407139","Tractor Truck Diesel","Sedan",,,
"row-h4vp-rrzn_ut3c","rv-5xrk_wz24_f2qk","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:31","QUEENS","11378","40.7291340","-73.9310150","( 4 0 . 7 2 9 1 3 4 ,   - 7 3 . 9 3 1 0 1 5 )","REVIEW AVENUE                   ","LAUREL HILL BOULEVARD",,"1","0","0","0","0","0","1","0","Fell Asleep","Unspecified",,,,"4407306","TRAC","Sedan",,,
"row-38bd_pq5j_n5qv","rv-5gb5~sz3u.ede3","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:37","BROOKLYN","11207","40.6710470","-73.8927150","( 4 0 . 6 7 1 0 4 7 ,   - 7 3 . 8 9 2 7 1 5 )","BELMONT AVENUE                  ","WYONA STREET",,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4407718","Sedan",,,,
"row-pm7s-346y_aqav","rv-wavd-r2im~qg86","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:52","BROOKLYN","11220","40.6114300","-74.0348500","( 4 0 . 6 1 1 4 3 ,   - 7 4 . 0 3 4 8 5 )","SHORE ROAD                      ","4 AVENUE",,"2","0","0","0","0","0","2","0","Driver Inattention/Distraction",,,,,"4407024","Station Wagon/Sport Utility Vehicle",,,,
"row-2n58_kjem_z2ne","rv-t8qd_7czb-2zzu","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","11:00",,,"40.7328870","-73.9205860","( 4 0 . 7 3 2 8 8 7 ,   - 7 3 . 9 2 0 5 8 6 )","LONG ISLAND EXPRESSWAY          ",,,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4407307","Box Truck","Station Wagon/Sport Utility Vehicle",,,
"row-9ph5~g7pd_ev9k","rv-jaz2~tq36_hvyd","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","11:00",,,,,,"MAJOR DEEGAN EXPRESSWAY RAMP    ",,,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4406933","Station Wagon/Sport Utility Vehicle","Sedan",,,
"row-wmfk_qrfv_khfx","rv-p4ks~x6xd.spcc","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","11:00","MANHATTAN","10001","40.7509880","-73.9906300","( 4 0 . 7 5 0 9 8 8 ,   - 7 3 . 9 9 0 6 3 )","WEST 34 STREET                  ","7 AVENUE",,"1","0","1","0","0","0","0","0","Unspecified",,,,,"4407047","Bus",,,,
"row-kp8k-55f4.dfjt","rv-5r4a~53ee_deuu","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","11:18","QUEENS","11372","40.7470600","-73.8894400","( 4 0 . 7 4 7 0 6 ,   - 7 3 . 8 8 9 4 4 )",,,"76-13     ROOSEVELT AVENUE              ","4","0","0","0","0","0","4","0","Unspecified",,,,,"4407240","Sedan",,,,
"row-xrkv_ex9d~apnr","rv-pp3i~mxcj~trhq","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","11:26","BROOKLYN","11221","40.6872300","-73.9417950","( 4 0 . 6 8 7 2 3 ,   - 7 3 . 9 4 1 7 9 5 )","THROOP AVENUE                   ","GATES AVENUE",,"0","0","0","0","0","0","0","0","Passing Too Closely","Unspecified",,,,"4407054","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"row-dr9z-4gfj_evdr","rv-gc7h_c5e2~p6np","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","11:30",,,"40.8291550","-73.9372800","( 4 0 . 8 2 9 1 5 5 ,   - 7 3 . 9 3 7 2 8 )","WEST 155 STREET                 ",,,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4407003","Sedan",,,,
"row-envn~au56_grvb","rv-kc34_kzx5-275m","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","11:30",,,"40.7472760","-73.9896240","( 4 0 . 7 4 7 2 7 6 ,   - 7 3 . 9 8 9 6 2 4 )","WEST 30 STREET                  ",,,"1","0","1","0","0","0","0","0","Failure to Yield Right-of-Way",,,,,"4407017","Station Wagon/Sport Utility Vehicle",,,,
"row-ij2e_nk5j-wqhz","rv-b7u9~jk9g-rk2h","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","11:34",,,"40.6527520","-73.8862900","( 4 0 . 6 5 2 7 5 2 ,   - 7 3 . 8 8 6 2 9 )","PENNSYLVANIA AVENUE             ",,,"3","0","0","0","0","0","3","0","Driver Inattention/Distraction","Unspecified",,,,"4407727","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"row-5x2g~5au3~gcgn","rv-krdj.t7ta_ezvx","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","11:40",,,"40.6255460","-73.9399800","( 4 0 . 6 2 5 5 4 6 ,   - 7 3 . 9 3 9 9 8 )","FLATBUSH AVENUE                 ","AVENUE K",,"1","0","0","0","0","0","1","0","Unspecified","Unspecified",,,,"4407203","Sedan","PK",,,
"row-vz9d.2egj.ix4a","rv-n9xc.7xfa_vv68","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","11:50","MANHATTAN","10000","40.7697640","-73.9745500","( 4 0 . 7 6 9 7 6 4 ,   - 7 3 . 9 7 4 5 5 )","TRANSVERSE ROAD NUMBER ONE      ","CENTER DRIVE",,"0","0","0","0","0","0","0","0","Brakes Defective","Unspecified",,,,"4407324","Bike","Bike",,,
"row-c2i6_jvj8_jzj9","rv-uv6g.u67x-a5xt","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","12:00","QUEENS","11419","40.6857720","-73.8181900","( 4 0 . 6 8 5 7 7 2 ,   - 7 3 . 8 1 8 1 9 )","125 STREET                      ","107 AVENUE",,"0","0","0","0","0","0","0","0","Passing Too Closely","Unspecified",,,,"4406920","Sedan",,,,
"row-783r-gmdn~p5wu","rv-ae4f-mv7n-43k2","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","12:00","QUEENS","11414","40.6662670","-73.8457260","( 4 0 . 6 6 6 2 6 7 ,   - 7 3 . 8 4 5 7 2 6 )","89 STREET                       ","155 AVENUE",,"1","0","0","0","0","0","1","0","Passing or Lane Usage Improper","Unspecified",,,,"4406939","Sedan","Station Wagon/Sport Utility Vehicle",,,
"row-9qxr_85w7-b3dd","rv-vrpb_mymp~ntkn","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","12:25",,,"40.7461130","-73.7357600","( 4 0 . 7 4 6 1 1 3 ,   - 7 3 . 7 3 5 7 6 )","CROSS ISLAND PARKWAY            ",,,"1","0","0","0","0","0","1","0","Driver Inattention/Distraction","Unspecified",,,,"4407039","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"row-c7mx.zukx_ymze","rv-vdb2.ajca.7bkf","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","12:26","STATEN ISLAND","10312","40.5505700","-74.1675800","( 4 0 . 5 5 0 5 7 ,   - 7 4 . 1 6 7 5 8 )","RICHMOND AVENUE                 ","KATAN AVENUE",,"0","0","0","0","0","0","0","0","Passing or Lane Usage Improper","Unspecified",,,,"4406958","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"row-d39q~qa9v.fz5v","rv-36cn~jvq9.svdc","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","12:27","QUEENS","11378","40.7256770","-73.9031400","( 4 0 . 7 2 5 6 7 7 ,   - 7 3 . 9 0 3 1 4 )",,,"61-46     55 DRIVE                      ","1","0","0","0","0","0","1","0","Following Too Closely","Unspecified",,,,"4407034","Sedan","Sedan",,,
"row-z4p8.heci-hzeh","rv-2c84~g8sm-7ve3","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","12:35","QUEENS","11385","40.6914330","-73.8906300","( 4 0 . 6 9 1 4 3 3 ,   - 7 3 . 8 9 0 6 3 )","CYPRESS AVENUE                  ","VERMONT PLACE",,"0","0","0","0","0","0","0","0","Turning Improperly","Unspecified",,,,"4406926","Motorcycle","Sedan",,,
"row-77y6~sppm.p9s9","rv-5wht-g6xq~u338","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","12:50","QUEENS","11691","40.6027680","-73.7501200","( 4 0 . 6 0 2 7 6 8 ,   - 7 3 . 7 5 0 1 2 )",,,"16-12     MOTT AVENUE                   ","0","0","0","0","0","0","0","0","Traffic Control Disregarded","Other Vehicular",,,,"4406948","Sedan","Open Body",,,
"row-3na4_4ri3~zbm9","rv-9rnq.tptp-sygm","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","12:57",,,"40.8636900","-73.9170700","( 4 0 . 8 6 3 6 9 ,   - 7 3 . 9 1 7 0 7 )","WEST 207 STREET                 ",,,"1","0","0","0","0","0","1","0","Failure to Yield Right-of-Way","Unspecified",,,,"4407304","Station Wagon/Sport Utility Vehicle","Pick-up Truck",,,
